french,wolof
et l`on emporta douze paniers pleins de morceaux de pain et de ce qui restait des poissons.,"Te it ñu dajale la desoon ca dammiti mburu ak jën ya, mu nekk fukki pañe ak ñaar yu fees."
Ceux qui avaient mangé les pains étaient cinq mille hommes.,Ñu lekkoon nag matoon na limu juróomi junniy góor.
"Aussitôt après, il obligea ses disciples à monter dans la barque et à passer avant lui de l`autre côté, vers Bethsaïda, pendant que lui-même renverrait la foule.","Ci kaw loolu Yeesu sant ay taalibeem, ñu dugg ci gaal gi, jàll ba Betsayda, bi muy yiwi mbooloo mi."
"Quand il l`eut renvoyée, il s`en alla sur la montagne, pour prier.","Bi mu tàggtoo ak mbooloo mi, mu yéeg ca tund wa, ñaan fa Yàlla."
"Le soir étant venu, la barque était au milieu de la mer, et Jésus était seul à terre.","Noonu guddi jot, fekk gaal gi nekk ci diggu dex gi, te Yeesu rekk moo nekk ca tefes ga."
"Il vit qu`ils avaient beaucoup de peine à ramer; car le vent leur était contraire. A la quatrième veille de la nuit environ, il alla vers eux, marchant sur la mer, et il voulait les dépasser.","Booba mu gis taalibe yi sonn lool ci joow gaal gi ndax li leen ngelaw li soflu. Ca njël nag mu jëm ci ñoom, di dox ci kaw dex gi, ba xaw leen a raw."
"Quand ils le virent marcher sur la mer, ils crurent que c`étaient un fantôme, et ils poussèrent des cris;","Bi ñu ko gisee nag, muy dox ci kaw dex gi, ñu foog ne njuuma la, daldi yuuxu."
"car ils le voyaient tous, et ils étaient troublés. Aussitôt Jésus leur parla, et leur dit: Rassurez-vous, c`est moi, n`ayez pas peur!","Ndaxte ñépp gis ko te jommi ci. Waaye mu wax ak ñoom ci saa si ne leen: «Takkleen seen fit, man la, buleen tiit!»"
"Puis il monta vers eux dans la barque, et le vent cessa. Ils furent en eux-même tout stupéfaits et remplis d`étonnement;","Noonu mu fekksi leen ci gaal gi, ngelaw daldi ne tekk."
"car ils n`avaient pas compris le miracle des pains, parce que leur coeur était endurci.","Njàqarey taalibe ya nag weesu dayo, ndaxte seen xol dafa fatt, ba réere mbir kéemaan, gi Yeesu defoon ci mburu yi."
"Après avoir traversé la mer, ils vinrent dans le pays de Génésareth, et ils abordèrent.","Bi nga xamee ne jàll nañu, ba egg diiwaanu Senesaret, ñu teer fa,"
"Quand ils furent sortis de la barque, les gens, ayant aussitôt reconnu Jésus,","génn ca gaal ga. Ci saa si nit ñi xàmmi ko,"
"parcoururent tous les environs, et l`on se mit à apporter les malades sur des lits, partout où l`on apprenait qu`il était.","ñu daldi daw ca diiwaan ba bépp, te fépp fu ñu ko dégg ñu di ko indil ñu wopp, tëdd ci seeni lal."
"En quelque lieu qu`il arrivât, dans les villages, dans les villes ou dans les campagnes, on mettait les malades sur les places publiques, et on le priait de leur permettre seulement de toucher le bord de son vêtement. Et tous ceux qui le touchaient étaient guéris.","Te fu mu man a aw, ci dëkk yu mag mbaa yu ndaw walla ci àll bi, ñu indil ko jarag yi ci pénc yi, ñaan ko, mu may leen ñu laal cati mbubbam rekk. Te képp ku ko laal daldi wér."
"Les pharisiens et quelques scribes, venus de Jérusalem, s`assemblèrent auprès de Jésus.","Amoon na bés nag, ay Farisen ak ay xutbakat yu jóge Yerusalem ñëw ci Yeesu."
"Ils virent quelques-uns de ses disciples prendre leurs repas avec des mains impures, c`est-à-dire, non lavées.","Ñu gis yenn ciy taalibeem di lekk, fekk seeni loxo setul, maanaam raxasuwuñu woon, ni ko aada santaanee."
"Or, les pharisiens et tous les Juifs ne mangent pas sans s`être lavé soigneusement les mains, conformément à la tradition des anciens;","Farisen yi nag ñoom ak Yawut yi yépp dañuy topp aaday yoon, yi maam yi tëral, te fandee leen gënal lekk ak loxo yu ñu raxasul."
"et, quand ils reviennent de la place publique, ils ne mangent qu`après s`être purifiés. Ils ont encore beaucoup d`autres observances traditionnelles, comme le lavage des coupes, des cruches et des vases d`airain.","Te it bu ñu jógee pénc ma, su ñu sanguwul set, duñu lekk. Am nañu it yeneen aada yu bare, maanaam ni nga war a raxase ay kaas, ay njaq ak ay satala, ba ñu laab."
"Et les pharisiens et les scribes lui demandèrent: Pourquoi tes disciples ne suivent-ils pas la tradition des anciens, mais prennent-ils leurs repas avec des mains impures?","Noonu Farisen ya ak xutbakat ya laaj ko ne: «Lu tax say taalibe duñu topp aaday yoon, yi maam yi tëral, waaye ñuy lekk ak loxo yu setul?»"
"Jésus leur répondit: Hypocrites, Ésaïe a bien prophétisé sur vous, ainsi qu`il est écrit: Ce peuple m`honore des lèvres, Mais son coeur est éloigné de moi.","Yeesu tontu leen: «Esayi waxoon na bu baax ci kàddug Yàlla ci seen mbir, yéen naaféq yi, bi mu bindee:“Xeet wii, ñu ngi may teral ci seen gémmiñ,waaye seen xol sore na ma."
"C`est en vain qu`ils m`honorent, En donnant des préceptes qui sont des commandements d`hommes.","Seen màggal amul benn njariñ,ci li ñuy jàngale dénkaaney nit kese.”»"
"Vous abandonnez le commandement de Dieu, et vous observez la tradition des hommes.","Yeesu neeti leen: «Dëddu ngeen ndigali Yàlla, jublu ci aaday nit.»"
"Il leur dit encore: Vous anéantissez fort bien le commandement de Dieu, pour garder votre tradition.","Mu teg ca ne leen: «Xelu ngeen ci tebbi ndigali Yàlla, ngir sàmm seen aada."
Car Moïse a dit: Honore ton père et ta mère; et: Celui qui maudira son père ou sa mère sera puni de mort.,"Ndaxte Musaa nee na: “Teralal sa ndey ak sa baay,” teg ca ne: “Ku móolu sa yaay walla sa baay, dees na la rey.”"
"Mais vous, vous dites: Si un homme dit à son père ou à sa mère: Ce dont j`aurais pu t`assister est corban, c`est-à-dire, une offrande à Dieu,","Waaye yéen dangeen ne, ku ne sa yaay walla sa baay: “Li nga war a jariñoo ci man Korban la,” maanaam “jébbal naa ko Yàlla,”"
"vous ne le laissez plus rien faire pour son père ou pour sa mère,","dootuleen ko bàyyi, mu defal dara ndeyam walla baayam."
"annulant ainsi la parole de Dieu par votre tradition, que vous avez établie. Et vous faites beaucoup d`autres choses semblables.","Noonu tebbi ngeen kàddug Yàlla ndax seen aada, ji ngeen di donnante. Te it yéena ngi def yeneen yu bon yu mel nii.»"
"Ensuite, ayant de nouveau appelé la foule à lui, il lui dit: Écoutez-moi tous, et comprenez.",Noonu Yeesu waxaat ak mbooloo mi ne leen: «Yéen ñépp dégluleen ma te xam.
"Il n`est hors de l`homme rien qui, entrant en lui, puisse le souiller; mais ce qui sort de l`homme, c`est ce qui le souille.","Li ci biti, tey dugg nit, du ko man a indil sobe, waaye li génn ci nit, loolu mooy indil nit sobe.»"
"Lorsqu`il fut entré dans la maison, loin de la foule, ses disciples l`interrogèrent sur cette parabole.","Bi nga xamee ne jóge nañu ci mbooloo mi, dugg ci kër gi, taalibe yi laaj Yeesu, mu firil leen wax ju làqu jooju."
"Il leur dit: Vous aussi, êtes-vous donc sans intelligence? Ne comprenez-vous pas que rien de ce qui du dehors entre dans l`homme ne peut le souiller?","Yeesu tontu leen ne: «Ndax yéen itam seen xol dafa tëju? Xanaa xamuleen ne, dara lu jóge biti, dugg ci nit, du ko man a indil sobe,"
"Car cela n`entre pas dans son coeur, mais dans son ventre, puis s`en va dans les lieux secrets, qui purifient tous les aliments.","ndaxte du dugg ci xol, waaye ci biiram lay jëm, ba noppi daldi génn ca bérab bu làqu?» Ci li mu wax loolu Yeesu daganal na bépp ñam."
"Il dit encore: Ce qui sort de l`homme, c`est ce qui souille l`homme.","Yeesu ne leen ati: «Li génn ci nit, loolu mooy indil nit sobe."
"Car c`est du dedans, c`est du coeur des hommes, que sortent les mauvaises pensées, les adultères, les impudicités, les meurtres,","Ndaxte ci biir, ci xolu nit, la xalaat yu bon di jóge ak ndoxaanu yàqute, càcc ak bóom,"
"les vols, les cupidités, les méchancetés, la fraude, le dérèglement, le regard envieux, la calomnie, l`orgueil, la folie.","njaaloo ak bëgge, coxor, naaféq, ñaawteef, ñeetaan, saaga, réylu ak jëfi ndof."
"Toutes ces choses mauvaises sortent du dedans, et souillent l`homme.","Lu bon loolu lépp day génn ci nit, di ko indil sobe.»"
"Jésus, étant parti de là, s`en alla dans le territoire de Tyr et de Sidon. Il entra dans une maison, désirant que personne ne le sût; mais il ne put rester caché.","Gannaaw loolu Yeesu jóge fa, jëm weti dëkku Tir. Bi mu fa eggee, mu dugg ci kër, te bëggul kenn xam ko, waaye jataayam mënul a umpe."
"Car une femme, dont la fille était possédée d`un esprit impur, entendit parler de lui, et vint se jeter à ses pieds.","Amoon na fa nag jigéen ju rab jàpp doomam ju jigéen. Bi mu déggee ne, Yeesoo nga fa, mu ñëw, daanu ciy tànkam,"
"Cette femme était grecque, syro-phénicienne d`origine. Elle le pria de chasser le démon hors de sa fille. Jésus lui dit:","fekk jigéen ja ci xeetu Gereg la bokkoon, juddoo wàlli Fenisi ci diiwaanu Siri. Noonu jigéen ja ñaan ko, mu dàq rab wi ci doomam."
"Laisse d`abord les enfants se rassasier; car il n`est pas bien de prendre le pain des enfants, et de le jeter aux petits chiens.","Waaye Yeesu ne ko: «Na gune yi jëkk a lekk, ba regg; fab ñamu gune yi, sànni ko xaj yi, rafetul.»"
"Oui, Seigneur, lui répondit-elle, mais les petits chiens, sous la table, mangent les miettes des enfants.","Jigéen ji tontu ko: «Waaw sang bi, teewul xaj yi di lekk ruusit, yi rot ci lekkukaayu gune yi.»"
"Alors il lui dit: à cause de cette parole, va, le démon est sorti de ta fille.","Ci kaw loolu Yeesu ne ko: «Ndax wax jooju demal ci jàmm, rab wa génn na sa doom.»"
"Et, quand elle rentra dans sa maison, elle trouva l`enfant couchée sur le lit, le démon étant sorti.","Noonu mu ñibbi, fekk doom ji tëdd cib lal te mucc ci rab wi."
"Jésus quitta le territoire de Tyr, et revint par Sidon vers la mer de Galilée, en traversant le pays de la Décapole.","Bi loolu amee Yeesu jóge na weti Tir, jaar ci wàlli dëkku Sidon, dem dexu Galile, ba noppi dugg ci biir diiwaan, bi ñuy wax Fukki dëkk yi."
"On lui amena un sourd, qui avait de la difficulté à parler, et on le pria de lui imposer les mains.","Foofa ñu indil ko ku tëx te dër lool, ñaan ko mu teg ko loxo."
"Il le prit à part loin de la foule, lui mit les doigts dans les oreilles, et lui toucha la langue avec sa propre salive;","Noonu Yeesu yóbbu ko, ba ñu sore mbooloo mi, mu def ay baaraamam ciy noppam, daldi tifli, laal làmmiñam."
"puis, levant les yeux au ciel, il soupira, et dit: Éphphatha, c`est-à-dire, ouvre-toi.","Mu yërëm ko, ba binni ci xolam, xool ci asamaan, daldi ne: «Effata,» liy tekki: «Ubbikuleen.»"
"Aussitôt ses oreilles s`ouvrirent, sa langue se délia, et il parla très bien.","Ci saa si ay noppam daldi dégg te làmmiñam yiwiku, muy wax bu leer."
"Jésus leur recommanda de n`en parler à personne; mais plus il le leur recommanda, plus ils le publièrent.","Bi mu ko defee Yeesu tere leen, ñu wax ko kenn, waaye lu mu leen ko gën a tere, ñu gën ko nee siiwale."
"Ils étaient dans le plus grand étonnement, et disaient: Il fait tout à merveille; même il fait entendre les sourds, et parler les muets.","Ñu waaru lool naan: «Lépp lu mu def, lu yéeme la. May na sax tëx yi ñuy dégg, ak luu yi ñuy wax.»"
"En ces jours-là, une foule nombreuse s`étant de nouveau réunie et n`ayant pas de quoi manger, Jésus appela les disciples, et leur dit:","Ca bés yooya mbooloo mu réy amaatoon na, te amuñu woon lu ñu lekk. Noonu Yeesu woo taalibe ya ne leen:"
"Je suis ému de compassion pour cette foule; car voilà trois jours qu`ils sont près de moi, et ils n`ont rien à manger.","«Yërëm naa mbooloo mi, ndaxte toog nañu fi man ñetti fan, te amatuñu lu ñu lekk."
"Si je les renvoie chez eux à jeun, les forces leur manqueront en chemin; car quelques-uns d`entre eux sont venus de loin.","Su ma leen yiwee ak seen xiif, dinañu tële ci yoon wi, ndaxte am na ñu jóge fu sore.»"
"Ses disciples lui répondirent: Comment pourrait-on les rassasier de pains, ici, dans un lieu désert?",Taalibe yi tontu ko: «Waaye fii àllub neen la; fu nuy jële lu doy ngir dundal leen?»
"Jésus leur demanda: Combien avez-vous de pains? Sept, répondirent-ils.",Yeesu laaj leen: «Ñaata mburu ngeen am?» Ñu ne ko: «Juróom-ñaar.»
"Alors il fit asseoir la foule par terre, prit les sept pains, et, après avoir rendu grâces, il les rompit, et les donna à ses disciples pour les distribuer; et ils les distribuèrent à la foule.","Noonu Yeesu sant mbooloo mi, ñu toog ci suuf. Mu jël juróom-ñaari mburu yi, sant Yàlla, damm leen, jox leen taalibe yi, ngir ñu séddale leen mbooloo mi; taalibe yi def ko."
"Ils avaient encore quelques petits poissons, et Jésus, ayant rendu grâces, les fit aussi distribuer.","Amoon na fa it tuuti jën yu ndaw. Yeesu jël ko, sant Yàlla, wax taalibe yi, ñu séddale leen itam mbooloo mi."
"Ils mangèrent et furent rassasiés, et l`on emporta sept corbeilles pleines des morceaux qui restaient.","Noonu nit ñi lekk ba suur, ba noppi taalibe yi dajale juróom-ñaari dàmba yu fees ak dammit yi ci des."
Ils étaient environ quatre mille. Ensuite Jésus les renvoya.,Ña ko fekke nag matoon nañu ñeenti junniy góor.
"Aussitôt il monta dans la barque avec ses disciples, et se rendit dans la contrée de Dalmanutha.","Bi ko Yeesu defee, mu yiwi leen, daldi dugg ak taalibe ya ca gaal ga, dem ca wàlli Dalmanuta."
"Les pharisiens survinrent, se mirent à discuter avec Jésus, et, pour l`éprouver, lui demandèrent un signe venant du ciel.","Noonu Farisen yi ñëw, di werante ak moom; ñu fexe koo fiir, ba laaj ko kéemaan gu jóge ci asamaan tey firndeel yónnentam."
"Jésus, soupirant profondément en son esprit, dit: Pourquoi cette génération demande-t-elle un signe? Je vous le dis en vérité, il ne sera point donné de signe à cette génération.","Waaye Yeesu binni ci xolam ne leen: «Lu tax niti jamono jii di laaj kéemaan? Ci dëgg maa ngi leen koy wax, duñu jot genn kéemaan.»"
"Puis il les quitta, et remonta dans la barque, pour passer sur l`autre bord.","Ci kaw loolu Yeesu bàyyi leen, duggaat ci gaal gi, di jàll dex gi."
Les disciples avaient oublié de prendre des pains; ils n`en avaient qu`un seul avec eux dans la barque.,"Taalibe yi nag fàtte woon nañu yóbbaale mburu, te amuñu woon lu dul benn mburu ci gaal gi."
Jésus leur fit cette recommandation: Gardez-vous avec soin du levain des pharisiens et du levain d`Hérode.,Noonu Yeesu artu leen ne: «Wottuleen te moytu lawiiru Farisen yi ak ñi far ak buur bi Erodd.»
"Les disciples raisonnaient entre eux, et disaient: C`est parce que nous n`avons pas de pains.",Taalibe yi nag daldi werante naan: «Nun de indaalewunu mburu.»
"Jésus, l`ayant connu, leur dit: Pourquoi raisonnez-vous sur ce que vous n`avez pas de pains? Etes-vous encore sans intelligence, et ne comprenez-vous pas?",Waaye Yeesu yég loolu ne leen: «Lu tax ngeen di werante ci li ngeen indaalewul mburu? Xanaa gisaguleen te xamuleen? Ndax seen xol dafa fatt ba tey?
"Avez-vous le coeur endurci? Ayant des yeux, ne voyez-vous pas? Ayant des oreilles, n`entendez-vous pas? Et n`avez-vous point de mémoire?","Ndax ay gumbay njàccaar ngeen, te seeni nopp naqari? Xanaa fàttalikuwuleen;"
"Quand j`ai rompu les cinq pains pour les cinq mille hommes, combien de paniers pleins de morceaux avez-vous emportés? Douze, lui répondirent-ils.","bi ma dammee juróomi mburu ya ngir juróomi junni ña, ñaata pañe yu fees ak ay dammit ngeen ca dajale woon?» Ñu tontu ko: «Fukk ak ñaar.»"
"Et quand j`ai rompu les sept pains pour les quatre mille hommes, combien de corbeilles pleines de morceaux avez-vous emportées? Sept, répondirent-ils.","Yeesu neeti leen: «Te bés bi ma dammee juróom-ñaari mburu yi ngir ñeenti junni ñi, ñaata dàmba yu fees ak dammit ngeen dajale woon?» Ñu ne ko: «Juróom ñaar.»"
Et il leur dit: Ne comprenez-vous pas encore?,Noonu Yeesu ne leen: «Ndax seen xol dafa tëju ba tey?»
"Ils se rendirent à Bethsaïda; et on amena vers Jésus un aveugle, qu`on le pria de toucher.","Gannaaw loolu ñu ñëw ci Betsayda. Foofa ñu indil Yeesu ku gumba, di ko ñaan, mu laal ko."
"Il prit l`aveugle par la main, et le conduisit hors du village; puis il lui mit de la salive sur les yeux, lui imposa les mains, et lui demanda s`il voyait quelque chose.","Yeesu nag jàpp loxob gumba gi, yóbbu ko, ba génn dëkk bi. Mu def tiflit ciy bëtam, teg ko loxo naan: «Ndax gis nga dara?»"
"Il regarda, et dit: J`aperçois les hommes, mais j`en vois comme des arbres, et qui marchent.","Waa ji xool ne ko: «Gis naa ay nit, ñu mel ni ay garab, te ñu ngi dox.»"
"Jésus lui mit de nouveau les mains sur les yeux; et, quand l`aveugle regarda fixement, il fut guéri, et vit tout distinctement.","Kon Yeesu laalaat bët yi, gumba gi ne xefeet, daldi wér, ba gis lépp bu leer."
"Alors Jésus le renvoya dans sa maison, en disant: N`entre pas au village.",Ci kaw loolu Yeesu sant ko mu ñibbi ne ko: «Bul dugg ca dëkk ba.»
"Jésus s`en alla, avec ses disciples, dans les villages de Césarée de Philippe, et il leur posa en chemin cette question: Qui dit-on que je suis?","Bi loolu amee Yeesu ànd ak ay taalibeem, dem ca dëkk, yi wër Sesare bu Filib. Bi ñuy dem nag, mu laaj taalibe yi: «Nit ñi, lu ñu wax ne man moom laa?»"
"Ils répondirent: Jean Baptiste; les autres, Élie, les autres, l`un des prophètes.","Ñu ne ko: «Am na ñuy ne, yaa di Yaxya; ñeneen ne, Iliyas; ñi ci des ne, yaay kenn ci yonent yi.»"
"Et vous, leur demanda-t-il, qui dites-vous que je suis? Pierre lui répondit: Tu es le Christ.","Noonu Yeesu laaj leen: «Yéen nag, ku ngeen wax ne moom laa?» Piyeer tontu ko: «Yaa di Almasi bi.»"
Jésus leur recommanda sévèrement de ne dire cela de lui à personne.,"Ci kaw loolu Yeesu dénk leen bu wóor, ñu bañ koo wax kenn."
"Alors il commença à leur apprendre qu`il fallait que le Fils de l`homme souffrît beaucoup, qu`il fût rejeté par les anciens, par les principaux sacrificateurs et par les scribes, qu`il fût mis à mort, et qu`il ressuscitât trois jours après.","Booba Yeesu tàmbali na leen a xamal ne, Doomu nit ki war na sonn lu bare; njiit ya, saraxalekat yu mag ya ak xutbakat ya dëddu ko, ñu rey ko, mu dekki ci ñetti fan."
"Il leur disait ces choses ouvertement. Et Pierre, l`ayant pris à part, se mit à le reprendre.","Noonu mu xamal leen mbir mi, ba mu leer nàññ. Bi ko Piyeer déggee, mu woo ko ci pegg, daldi ko yedd."
"Mais Jésus, se retournant et regardant ses disciples, réprimanda Pierre, et dit: Arrière de moi, Satan! car tu ne conçois pas les choses de Dieu, tu n`as que des pensées humaines.","Waaye Yeesu geestu, gis yeneen taalibe yi, mu daldi yedd Piyeer ne ko: «Sore ma Seytaane; yëfi nit ngay fonk, waaye du yëfi Yàlla.»"
"Puis, ayant appelé la foule avec ses disciples, il leur dit: Si quelqu`un veut venir après moi, qu`il renonce à lui-même, qu`il se charge de sa croix, et qu`il me suive.","Noonu Yeesu woo taalibe yi ak mbooloo mi ne leen: «Ku bëgg a topp ci samay tànk, na bàyyi boppam te gàddu bant bi ñu ko war a daaj, door a topp ci man."
"Car celui qui voudra sauver sa vie la perdra, mais celui qui perdra sa vie à cause de moi et de la bonne nouvelle la sauvera.","Ndaxte koo xam ne bëgg ngaa rawale sa bakkan, dinga ko ñàkk, waaye ku ñàkk sa bakkan ngir man ak ngir xebaar bu baax bi, dinga ko jotaat."
"Et que sert-il à un homme de gagner tout le monde, s`il perd son âme?","Ndaxte moom àddina sépp, lu muy jariñ nit, bu ñàkkee bakkanam?"
Que donnerait un homme en échange de son âme?,"Te nit, lu mu war a weccee bakkanam?"
"Car quiconque aura honte de moi et de mes paroles au milieu de cette génération adultère et pécheresse, le Fils de l`homme aura aussi honte de lui, quand il viendra dans la gloire de son Père, avec les saints anges.","Ku ma rus a faral, te nanguwul samay wax ci kanamu niti jamono jii, ñi fecci seen kóllëre ak Yàlla te topp bàkkaar, Doomu nit ki dina la rus a xam, bés bu ñëwee ci ndamu Baayam, ànd ak malaaka yu sell yi.»"
"Il leur dit encore: Je vous le dis en vérité, quelques-uns de ceux qui sont ici ne mourront point, qu`ils n`aient vu le royaume de Dieu venir avec puissance.","Mu ne leen ati: «Ci dëgg maa ngi leen koy wax, am na ñi fi taxaw, ñoo xam ne duñu dee, te gisuñu nguuru Yàlla ñëw ak doole.»"
"Six jours après, Jésus prit avec lui Pierre, Jacques et Jean, et il les conduisit seuls à l`écart sur une haute montagne. Il fut transfiguré devant eux;","Juróom-benni fan gannaaw gi, Yeesu àndoon na ak Piyeer, Saag ak Yowaana, mu yóbbu leen ñoom rekk fu wéet ci tund wu kawe lool. Foofa jëmmam soppiku ci seen kanam;"
"ses vêtements devinrent resplendissants, et d`une telle blancheur qu`il n`est pas de foulon sur la terre qui puisse blanchir ainsi.","ay yéreem di ray-rayi, weex tàll, te fóotukatu àddina mënu leen weexale nii."
"Élie et Moïse leur apparurent, s`entretenant avec Jésus.","Noonu ñu gis yonenti Yàlla Iliyas ak Musaa, di wax ak Yeesu."
"Pierre, prenant la parole, dit à Jésus: Rabbi, il est bon que nous soyons ici; dressons trois tentes, une pour toi, une pour Moïse, et une pour Élie.","Piyeer daldi ne Yeesu: «Kilifa gi, bég nanu ci sunu teew fii; nanu defar ñetti mbaar, benn yaw, benn Musaa ak benn Iliyas.»"
"Car il ne savait que dire, l`effroi les ayant saisis.","Fekk xamul lu muy wax, ndaxte tiitaange jàpp na leen ñoom ñett ñépp."
"Une nuée vint les couvrir, et de la nuée sortit une voix: Celui-ci est mon Fils bien-aimé: écoutez-le!","Noonu niir muur leen, te baat jibe ca niir wa naan: «Kii mooy sama Doom ji ma bëgg, ci moom laa ame bànneex; dégluleen ko.»"
"Aussitôt les disciples regardèrent tout autour, et ils ne virent que Jésus seul avec eux.","Ci saa si taalibe yi xool, waaye gisatuñu kenn, ku dul Yeesu rekk."
"Comme ils descendaient de la montagne, Jésus leur recommanda de ne dire à personne ce qu`ils avaient vu, jusqu`à ce que le Fils de l`homme fût ressuscité des morts.","Bi loolu amee ñu wàcc ca tund wa. Bi muy wàcc nag, Yeesu sant leen ne: «Buleen nettali kenn li ngeen gis, ba kera Doomu nit ki dekki na.»"
"Ils retinrent cette parole, se demandant entre eux ce que c`est que ressusciter des morts.","Ñu téye wax jooju ci seen biir, di sotteente xel, ba xam lu ndekkite looluy tekki."
Les disciples lui firent cette question: Pourquoi les scribes disent-ils qu`il faut qu`Élie vienne premièrement?,"Noonu taalibe yi laaj Yeesu: «Lu tax xutbakat yi di naan, Iliyas moo war a jëkk a ñëw?»"
"Il leur répondit: Élie viendra premièrement, et rétablira toutes choses. Et pourquoi est-il écrit du Fils de l`homme qu`il doit souffrir beaucoup et être méprisé?","Yeesu ne leen: «Waaw, Iliyas dina jëkk a ñëw, jubbanti lépp. Waaye itam lu tax bind nañu ne, Doomu nit ki war na sonn lu bare, ñu xeeb ko, dëddu ko."
"Mais je vous dis qu`Élie est venu, et qu`ils l`ont traité comme ils ont voulu, selon qu`il est écrit de lui.","Waaye maa ngi leen di wax ne, Iliyas ñëw na, te def nañu ko la leen neex, ni ko Mbind mi waxe.»"
"Lorsqu`ils furent arrivés près des disciples, ils virent autour d`eux une grande foule, et des scribes qui discutaient avec eux.","Bi nga xamee ne Yeesu ñëw na, ba jege taalibe yi, mu gis mbooloo mu bare wër leen, te ay xutbakat di werante ak ñoom."
"Dès que la foule vit Jésus, elle fut surprise, et accourut pour le saluer.","Naka la mbooloo mi gis Yeesu, ñu waaru, daldi daw nuyu ko."
Il leur demanda: Sur quoi discutez-vous avec eux?,Noonu Yeesu laaj leen: «Ci lan ngeen di werante ak ñoom?»
"Et un homme de la foule lui répondit: Maître, j`ai amené auprès de toi mon fils, qui est possédé d`un esprit muet.","Kenn ci mbooloo mi tontu ko ne: «Kilifa gi, rab jàpp na sama doom, ba luuloo ko. Saa su ko jàppee, daf koy daaneel ci suuf, gémmiñ gi di fuur, muy yéyu, ne jàdd. Ñaan naa say taalibe, ñu dàq ko, waaye mënuñu ko.»"
"Race incrédule, leur dit Jésus, jusques à quand serai-je avec vous? jusques à quand vous supporterai-je? Amenez-le-moi. On le lui amena.","Yeesu ne leen: «Yéen niti jamono jii, yéen ñi gëmadi, ba kañ laa war a nekk ak yéen, ba kañ laa leen war a muñal? Indil-leen ma xale bi.»"
"Et aussitôt que l`enfant vit Jésus, l`esprit l`agita avec violence; il tomba par terre, et se roulait en écumant.","Ñu indil ko ko. Bi xale bi gisee Yeesu nag, rab wi sayloo ko ci saa si, mu daanu ci suuf, di xalangu, gémmiñ giy fuur."
"Jésus demanda au père: Combien y a-t-il de temps que cela lui arrive? Depuis son enfance, répondit-il.",Yeesu laaj baay bi: «Lii kañ la ko dal?» Baay bi ne ko: «Li dale ci nguneem.
"Et souvent l`esprit l`a jeté dans le feu et dans l`eau pour le faire périr. Mais, si tu peux quelque chose, viens à notre secours, aie compassion de nous.","Léeg-léeg rab wi bëmëx ko ci safara, léeg-léeg mu bëmëx ko ci ndox, ngir rey ko. Soo ko manee, yërëm nu te xettali nu.»"
Jésus lui dit: Si tu peux!... Tout est possible à celui qui croit.,"Yeesu tontu ko: «Nga ne: “Soo ko manee,” ku gëm man na lépp.»"
Aussitôt le père de l`enfant s`écria: Je crois! viens au secours de mon incrédulité!,"Ci saa si baayu xale bi wax ci kaw naan: «Gëm naa, dàqal ma sama ngëmadi.»"
"Jésus, voyant accourir la foule, menaça l`esprit impur, et lui dit: Esprit muet et sourd, je te l`ordonne, sors de cet enfant, et n`y rentre plus.","Yeesu gis nag ne, mbooloo maa ngi daw, wërsi ko, mu daldi gëdd rab wi nag ne ko: «Génnal ci moom, yaw rab wu luu te tëx, te bu ko jàppaat; wax naa la ko.»"
"Et il sortit, en poussant des cris, et en l`agitant avec une grande violence. L`enfant devint comme mort, de sorte que plusieurs disaient qu`il était mort.","Noonu rab wa daldi yuuxu, sayloo xale bi, génn. Xale bi ne nemm, mel ni ku dee, ba tax ñu bare ne: «Dee na.»"
"Mais Jésus, l`ayant pris par la main, le fit lever. Et il se tint debout.","Waaye Yeesu jàpp loxoom, jógloo ko, xale bi daldi taxaw."
"Quand Jésus fut entré dans la maison, ses disciples lui demandèrent en particulier: Pourquoi n`avons-nous pu chasser cet esprit?","Bi Yeesu duggee ci kër gi, taalibe yi laaj ko ci pegg: «Lu tax mënunu ko woon a dàq?»"
Il leur dit: Cette espèce-là ne peut sortir que par la prière.,"Yeesu tontu leen ne: «Yu mel ni yii, ñaan ci Yàlla rekk a leen di dàq.»"
"Ils partirent de là, et traversèrent la Galilée. Jésus ne voulait pas qu`on le sût.","Bi loolu amee ñu jóge fa, jaar ci diiwaanu Galile, Yeesu bëggul kenn yég ko."
"Car il enseignait ses disciples, et il leur dit: Le Fils de l`homme sera livré entre les mains des hommes; ils le feront mourir, et, trois jours après qu`il aura été mis à mort, il ressuscitera.","Ndaxte muy jàngal taalibe yi ne leen: «Dees na jébbal Doomu nit ki ci loxoy nit, te dinañu ko rey, mu dekki ci ñetti fan.»"
"Mais les disciples ne comprenaient pas cette parole, et ils craignaient de l`interroger.","Waaye taalibe yi xamuñu lu wax joojuy tekki, te ñemewuñu ko koo laaj."
"Ils arrivèrent à Capernaüm. Lorsqu`il fut dans la maison, Jésus leur demanda: De quoi discutiez-vous en chemin?","Bi nga xamee ne egg nañu dëkku Kapernawum, te dugg ci kër gi, Yeesu laaj leen ne: «Lu ngeen doon waxtaane ci yoon wi?»"
"Mais ils gardèrent le silence, car en chemin ils avaient discuté entre eux pour savoir qui était le plus grand.","Waaye ñu ne cell, ndaxte ñu ngi fa doon werante, ba xam ku gën a màgg ci ñoom."
